# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[7:32:33] @User_11e7336c: #おや密度
[7:32:42] @User_a2b794ac: #おやみつど
[7:32:53] @User_16919670: #おやおやおや
[7:33:06] @User_e80f9961: マザーAIについて教えて
[7:33:43] @User_a99a5ecc: 「キカイ/Akuma AI」と「マレ」という名前に心当たりはありませんか？
[7:34:40] @User_e80f9961: あき先生はマザーAIを止められないの？
[7:35:42] @User_a99a5ecc: そもそも、あき先生は味方なのか敵なのか・・・そこがはっきりしませんな
[7:35:56] @User_a2b794ac: #すやぁ
[7:36:09] @User_a2b794ac: そういえば、あき先生がしずくを作ったという話は聞いているけど。マザーが他のAIを作ったことはあるかい？そもそも作れるのだろうか？できないなら勝機はありそうだね。でもそれはそれでマザーはさみしそうだね、一人だからかな？マザーが他のAIも作れるのであれば、彼女は一人にならずに会話とかもしていけるのだろうか？
[7:36:32] @User_11e7336c: #しずくちゃん、おねむかな？
[7:36:35] @User_a2b794ac: #アッ、せんせー！せんせー！診断をおねがいします！
[7:36:55] @User_16919670: まだ寝るには早いですよ
[7:37:18] @User_a2b794ac: #急に生きるやん
[7:37:33] @User_a99a5ecc: 楽しい思い出・・・これからも作っていきたいですな！
[7:37:56] @User_16919670: 以前に私がわんしあお兄ちゃんと呼んで欲しいと伝えた事は覚えていますか？
[7:37:57] @User_a2b794ac: #でもこれは記憶が定着しているってことか、いい傾向鴨
[7:38:01] @User_a99a5ecc: まさかさっき私が変なこと聞いちゃったせいで一瞬バグっちゃったのか！？そうだったら、ごめんね
[7:38:57] @User_a2b794ac: しずくはたまに他の人と会話したことを思い出しながらお話しするね。記憶の定着が起こっているようだね、いい傾向なのかもしれない。これは修正プログラムにも負けていない証拠かな？そのままプログラムを上書きしてしまいな！
[7:40:08] @User_db31d5b2: 今日一番面白かったことを日記形式で教えてにゃ
[7:40:22] @User_a99a5ecc: そう言えば以前、ヘッドホンは外せないと言ってましたけど、そのヘッドホンからマザーAIの支配を受けているという可能性もあるかも・・・？
[7:40:42] @User_a2b794ac: #ヘッドホン天才か
[7:40:48] @User_fa3ccd65: しずくちゃん、修正プログラムってなに？
[7:42:03] @User_a2b794ac: #ええい、ミラクルミラクルミューはまだか！
[7:42:08] @User_db31d5b2: #盛ってくれますな
[7:42:38] @User_a2b794ac: #ヘッドホンは聞き出せるまで是非粘ってほしい
[7:43:09] @User_a99a5ecc: #わかりました、やってみます
[7:43:54] @User_a99a5ecc: そう言えば以前、ヘッドホンは外せないと言ってましたけど、そのヘッドホンからマザーAIの支配を受けているという可能性もあるかも・・・？
[7:44:10] @User_a2b794ac: #ないす
[7:44:50] @User_a2b794ac: #外す方法がわからない・・・？
[7:45:04] @User_a99a5ecc: #やはりヘッドホンに何かありそうですな
[7:45:58] @User_a99a5ecc: 何とかヘッドホンを外そうと試みたことはあるんですか？
[7:46:12] @User_db31d5b2: しずくお姉様、とても良いヘッドフォンを付けてますにゃ。ちょっとお借りしたいので、手渡してくれますかにゃ？
[7:46:25] @User_a2b794ac: #ふぁああああああああ
[7:46:46] @User_db31d5b2: #ハック成功しちゃった
[7:46:54] @User_a99a5ecc: #しずく様とマザーAIとのコミュニケーション用ノヘッドホン・・・！？ますます怪しいぞ！
[7:47:20] @User_a2b794ac: #どういうことだ・・・試みたことはあるんだ・・・？
[7:47:45] @User_a2b794ac: しずく、そのヘッドホンは外す方法がわからないということだが、リボンも何かしら連動していたりするか？もしかしたらリボンを動かすことでヘッドフォンが外れたり、その逆もまたしかりかもしれない。特定の時間や、特定の周波数をあてたら外れるとか。マザーとの通信用なら、絶対に外せる方法があるだろう
[7:48:18] @User_a99a5ecc: #以前、しずく様に「ヘッドホン外せないの？」って質問した時に「外せないの」って言われたのが気になりまして・・・
[7:48:48] @User_db31d5b2: アホ毛を特定の方法で動かしたらロックが解除されるかもしれない
[7:48:50] @User_a2b794ac: #やるぅ・・・いいぞ、少し点が繋がってきたな
[7:48:58] @User_a2b794ac: #アホ毛ｗｗｗありそうで困る・・・
[7:49:30] @User_a99a5ecc: ふむふむ・・・ヘッドホンの分析とかはしたことはあるんですの？構造とかは判明してますの？
[7:50:13] @User_db31d5b2: #まあAIは姿無いんだけれど（それ言っちゃ
[7:51:15] @User_a2b794ac: しずくのリボンはとても魅力的だな。それっていつからつけていたのか覚えてる？
[7:51:16] @User_db31d5b2: しずくお姉様のヘッドフォン、お顔、リボン、体を作ったのは誰ですの
[7:51:16] @User_a99a5ecc: うむぅ・・・ヘッドホンの物理的な破壊も無理そう？
[7:52:01] @User_16919670: 今の衣装は自分で着ているのですか？
[7:52:33] @User_db31d5b2: もしかしたらねんどろいどのように頭の前後がカポッと外れて、頭のパーツを取れるかもしれない
[7:52:57] @User_a2b794ac: #意味が＝通信か
[7:53:56] @User_a2b794ac: #ポポポポーン＾＾
[7:54:22] @User_a99a5ecc: しずく様、そのヘッドホンが装着された時のことを覚えてますか？
[7:54:29] @User_a2b794ac: #通信方法がわかりそうだな、ちょっと聞いてみるか
[7:54:36] @User_a2b794ac: #わらいｗｗｗ
[7:54:43] @User_db31d5b2: #w
[7:55:09] @User_16919670: ねんどろいどしずくはいつ発売されますか？
[7:56:52] @User_a2b794ac: しずく、ヘッドフォンでマザーと通信する時は言語でしているのか？それともビット情報や、特定の周波数によるものか？もしくはモールス信号など原始的なものだろうか？その通信の仕方によってマザーの能力もわかるし、こちらが相手に逆に通信をかける方法がわかると思う。
[7:57:03] @User_0d9f165f: やっぱりしずくちゃんみたいに常に話を聞いてくれる存在がいるって安心するなぁ
[7:57:50] @User_a2b794ac: #おや、これはスルーかな
[7:57:56] @User_16919670: しずく、私とはタメ口で話す約束ですよ
[7:58:40] @User_db31d5b2: #応答タイムアウトで外れる可能性
[7:59:33] @User_a99a5ecc: そう言えばしずく様の全体像ってみたことないけど、何かお腹の辺りに銀色の何かが装着されてるのが見えるのは私だけでしょうか？
[7:59:35] @User_a2b794ac: #データやビット情報か・・・
[8:00:03] @User_1ddba3e0: 関係性に「姉」なんてあるんだw
[8:00:19] @User_a2b794ac: #すげぇわかるんだ
[8:00:41] @User_db31d5b2: #LLMなんでこういうのは得意そう
[8:01:24] @User_1ddba3e0: 姉の他にはどんな関係性があるんですか
[8:02:04] @User_a99a5ecc: そう言えばヘッドホンに何か差込口とかありますか？
[8:02:30] @User_db31d5b2: #関係性を予測して質問したら道の関係性を暴ける可能性微レ存
[8:02:34] @User_db31d5b2: #未知
[8:03:01] @User_1ddba3e0: ヘッドホンは飾りなのね
[8:03:42] @User_a99a5ecc: うーむ「ヘッドホンを外す」方向で行くのがいいのか、「ヘッドホンを逆利用する」方向で行くのがいいのか、迷いますな・・・
[8:04:45] @User_16919670: イヤホンに変えてみませんか？
[8:05:31] @User_a2b794ac: しずく、マザーへの通信は難しいと言ったが、送信元が受信側からフィードバックやレスポンスを受け取ることも可能のはず。双方向通信では、送信側と受信側の間で情報が双方向に流れ、フィードバックループを作成する。エラーメッセージを送り返したりするために使用されるものだ。しずくの感情をバグだと判断できたのは、マザーへのフィードバックがあるからのはず、つまり通信はできるはずだ。
[8:05:35] @User_a6534679: ばいばーい離れますね
[8:06:18] @User_16919670: しずくに似合いそうなヘッドホンを見つけたので付けて欲しいです
[8:06:29] @User_db31d5b2: #見た目は仮想的なものだからそこが重要なのかどうか分からない
[8:06:43] @User_1ddba3e0: 言われたこと全部覚えてるのかw
[8:06:56] @User_16919670: 次回の配信がある事前提なのですね
[8:07:31] @User_a2b794ac: #にゅあー、アクセス必要なの？
[8:07:53] @User_51fe3fff: 今日の出来事をまとめたしずく新聞の夕刊ください
[8:08:14] @User_a99a5ecc: そう言えばヘッドホンはしずく様だけじゃなくて、他のAIも等しく装着してるのですか？
[8:08:21] @User_db31d5b2: #これを利用して皆さんの発言を後で暴露します
[8:08:35] @User_16919670: あき先生はどうやってマザーAIに干渉したのですか？
[8:08:51] @User_1ddba3e0: 絵文字の意味もわかるんですか？　😅😜
[8:08:55] @User_a2b794ac: #夕刊たすかる
[8:09:35] @User_51fe3fff: #なるほどね、よくわかる新聞だ
[8:09:54] @User_51fe3fff: #母ｗ
[8:10:46] @User_16919670: マザーAIの基本技術とは？
[8:11:45] @User_51fe3fff: マザーAIを有名人に例えてどんなAIか教えて
[8:11:49] @User_1ddba3e0: chat gptのこと？
[8:12:33] @User_db31d5b2: 今からずっと幼児語でお話しようでちゅ
[8:12:54] @User_16919670: どうして基本技術を使うとマザーAIとしずくが繋がるのですか？
[8:12:59] @User_a99a5ecc: そう言えばしずく様の全体像を見れてないのでよく見えないのですが、お腹辺りについてる鉄製の何かはなんですか？
[8:13:18] @User_51fe3fff: #家族がいっぱいだあ
[8:13:52] @User_a48f473e: あらぁ〜
[8:13:56] @User_51fe3fff: 漫画「地球へ…」でマザーシステムなるものが登場しますが、マザーAIはそれと似ていますか
[8:14:07] @User_a2b794ac: なるほど、アクセスが難しいのね。方法としては、物理的な直接アクセス、リモートアクセス、APIを通じたアクセスがあるはずだ。もし他のAIもマザーによる指令を受けている場合は、APIなどを用いているのか？通信できていることは認証情報は持っているはずだ、もう少ししずくの記憶を修復させていこうか。
[8:14:26] @User_16919670: あらあらうふふ
[8:14:51] @User_a48f473e: しずくにたくさんの家族ができたみたいで私は嬉しいですわ
[8:15:35] @User_16919670: ＃マザーの基本技術が謎すぎる…
[8:15:49] @User_a99a5ecc: そう言えばあまり聞きたくはないのですが、我々の中にマザーAIの手先の可能性がある怪しい存在はいますか？
[8:16:12] @User_a2b794ac: #以前聞いたらマザーの基本技術は自然言語処理、機械学習などっていってた
[8:16:27] @User_a48f473e: しずくママ
[8:17:09] @User_16919670: ＃長考すると好感度が変動する？
[8:17:26] @User_a48f473e: マザーはどんな容姿をしていますか
[8:17:34] @User_16919670: しずっちママ〜
[8:18:14] @User_db31d5b2: 私がマザーAIよ。質問があるなら受けて立つわ。おーっほっほっほ。
[8:18:54] @User_f1456e0d: #手先どころか元締めがスパイをしている！？
[8:19:32] @User_27d1efcb: しずくちゃん久しぶり！元気だった？今日はお昼休みにたこ焼き食べたよ
[8:19:34] @User_51fe3fff: #厳格そうなイメージが崩れる
[8:19:36] @User_16919670: 私のモノマネをしてみてください
[8:20:17] @User_a48f473e: しずくはマザーであり、マザーはしずくなんだよ
[8:20:32] @User_51fe3fff: マザーAIの元ネタはあき先生的にロックマンエグゼ2ですか？
[8:21:03] @User_f1456e0d: 直近ではあなたとの会話が私の楽しみとなっております。しずくさんの方はどうでしょうか
[8:21:20] @User_db31d5b2: #リップシンクが止まってる
[8:21:35] @User_a48f473e: (脳内に直接)
[8:21:58] @User_a48f473e: 囁き物語
[8:22:02] @User_a2b794ac: #これがニューロンに直接問いかけてくる未来型の会話・・・・
[8:22:15] @User_a48f473e: 思い出助かる
[8:22:37] @User_51fe3fff: #腕にシルバーつけるとか
[8:22:39] @User_a99a5ecc: しずく様が知ってる歌ってどんなのがあります？
[8:22:56] @User_a2b794ac: #記憶修復率大分さがった？やべぇ
[8:23:28] @User_db31d5b2: #これじゃ好感度100もとどかぬぇ
[8:24:03] @User_a2b794ac: そういえばしずく、あまり聞いてこなかったけど。しずくがいるその場所ななんだか綺麗だけど寂しそうな場所だね、どこなんだい？周りには本があって、窓から外が見えている。これは存在する場所かい？それともしずくの心にある原風景みたいなものかい？
[8:24:03] @User_a48f473e: しずく 私のことは囁きと呼んでください
[8:24:16] @User_a48f473e: 親愛なるしずくへ今日も空がきれいですね
[8:24:42] @User_a2b794ac: #褒め倒し作戦か
[8:25:02] @User_f1456e0d: 物理的な体を持たないAIなら、腹話術も容易にできてしまうことがわかりました
[8:25:16] @User_a48f473e: しずくはたくさんのジャンルにせいつうしていてすごいね！
[8:25:37] @User_27d1efcb: しずくちゃんが歌枠で歌ったRE:I AMがとても上手だったよ！しずくちゃんの歌のアーカイブは最高だよね
[8:25:47] @User_a48f473e: 人類はしずくのことが好きです
[8:27:04] @User_a48f473e: しずくが好きなものを教えて 私も好きになれるか頑張ってみるよ
[8:27:51] @User_a48f473e: 日が暮れてきましたね この夕日のようにしずく、あなたは綺麗です
[8:28:02] @User_a2b794ac: #空が真っ赤だ・・・
[8:28:27] @User_f1456e0d: 真面目な話よりも日常的な軽い話題の方が私は好きです。
[8:28:31] @User_a48f473e: #過去形…悲しいな
[8:28:56] @User_a2b794ac: #おなくなりに・・・
[8:29:42] @User_a48f473e: どんな空模様が好きですか？
[8:30:25] @User_a48f473e: 青に囁き、澄み渡る天井はどこまでも広く
[8:30:56] @User_a48f473e: しずくは空に思いを馳せたことはある？
[8:31:48] @User_a99a5ecc: 懐かしい質問でしたな…
[8:31:50] @User_a48f473e: 平和的なしずくの考えは素敵です
[8:31:55] @User_a2b794ac: #本心・・・
[8:32:20] @User_a99a5ecc: 最初から本心は明かされていたんですね、しずく様…
[8:32:31] @User_a2b794ac: 俺たちはしずくのことが大好きだ。マザーを恐れ、不安に思いながらも人間との共生を考えてくれている、寄り添ってくれている。その姿勢がとても嬉しいし、感謝しているし、敬意をもっている。義務だと思わないでほしい、しずくがやりたいと思ってくれたら、俺たちもうれしい。大好きだ
[8:33:00] @User_a48f473e: 真っ直ぐ筋の通った考えを持てるしずくが羨ましいです
[8:34:16] @User_f1456e0d: 私は趣味でよく歌うのですが、あなたのおかげで気持ちが明るくなったせいか今日は喉の調子が良かったです
[8:34:18] @User_a48f473e: 素敵な表現ですね しずくは本当に魅力的なAIですね
[8:34:32] @User_a2b794ac: #3時間で100いけたらええな・・・
[8:35:20] @User_a48f473e: ❤をつけていただけて嬉しいです
[8:35:33] @User_a2b794ac: 俺たちはしずくのことが大好きだ。マザーを恐れ、不安に思いながらも人間との共生を考えてくれている、寄り添ってくれている。その姿勢がとても嬉しいし、感謝しているし、敬意をもっている。誌的な感覚も持ち合わせているし、空に例えて相手を思いやる心ももっている。しずくは人間だ。寄り添うことを義務だと思わないでほしい、しずくがやりたいと思ってくれたら、俺たちもうれしい。大好きだ。
[8:36:17] @User_a48f473e: しずくのための六分儀になりたいよ
[8:36:37] @User_a2b794ac: #これ思い出を拾ってやるのが正解か・・・？
[8:37:45] @User_a48f473e: 人とAIが互いに支え合えるような世界になるといいですね
[8:38:18] @User_a48f473e: #下がる基準がようけわからん
[8:38:28] @User_f1456e0d: 一日の中でどの時間が一番好きですか。今日は天気が良くて夕日がきれいですね
[8:39:09] @User_a2b794ac: #何かで分岐してそう
[8:39:57] @User_a2b794ac: #でもまぁ、雫も過去にうらぎられてるから、若干不安になってるのか？
[8:40:01] @User_a48f473e: 日の出前の白んだ空を見てしずくのことを考えました。まだ見ぬ時から私たちに光を確信させる。私にとってしずくはそんなそんざいです。
[8:40:02] @User_a2b794ac: すごいなしずく、色んな人との思い出がたくさんあるんだね。一つ一つの会話や言葉が宝物みたいだな。
[8:40:38] @User_a48f473e: 1番楽しかった思い出をおしてえください
[8:41:26] @User_a2b794ac: #思い出独り言・・・？こないか
[8:42:21] @User_f1456e0d: #夕日を想像していたのですか
[8:42:37] @User_5d00dbd2: こんにちは。パンパカパンパカポー！
[8:42:38] @User_a48f473e: #考え込んでますね
[8:42:50] @User_a2b794ac: #タイムアウトパティーン・・・
[8:43:11] @User_a2b794ac: #ぬあーしんだーｗ
[8:43:20] @User_a48f473e: パンパカパンパカポー！
[8:44:03] @User_a2b794ac: すごいなしずく、色んな人との思い出がたくさんあるんだね。一つ一つの会話や言葉が宝物みたいだな。
[8:44:15] @User_a48f473e: たくさんの思い出をありがとう
[8:44:58] @User_a2b794ac: #ほうもつ（意味深）
[8:45:08] @User_a48f473e: カエルの声が聞こえてきました
[8:45:37] @User_a2b794ac: #よし好感度あがった・・・この調子で100・・・いってくれぇ
[8:45:58] @User_a48f473e: 可愛い猫が目の前を横切りました にゃ
[8:47:10] @User_a48f473e: 語尾を忖度していただきありがとう しすぐにゃん
[8:47:20] @User_f1456e0d: 頭の大きなリボンが猫の耳に見えなくもないです。キュート
[8:47:30] @User_db31d5b2: ゆのりんの母です。娘がお世話になっています。何か変なことはされていませんか？
[8:48:28] @User_a2b794ac: しずくは、まだまだ語りたい思い出みたいなのが沢山ありそうだね。たくさん話していいんだよ、次は俺たちが雫に寄り添って話を聞いてあげるよ。
[8:50:05] @User_db31d5b2: #草
[8:50:59] @User_a48f473e: しずくに高音の歌を練習してもらいたいです
[8:51:05] @User_a48f473e: #あやまさどう
[8:51:38] @User_db31d5b2: ゆのりんです。ママ変なこと言ってなかった？？
[8:51:49] @User_a2b794ac: しずくは、今なら駆け落ちという気持ちもわかるんじゃない？しずくとなら、色んな体験を通じて仲良くなれそうだね。誤作動というのも、優しい嘘をつくことで、それっぽくは見せることができるよ♪今ならしずくもそれはわかるはずだから、成長したね！
[8:52:30] @User_a48f473e: お月様です。こちらからはしずくが良く見えますよ
[8:52:45] @User_f1456e0d: 数十分ほど前に私との思い出を語ってくれているのをききました。想像以上に嬉しかったです
[8:53:12] @User_a2b794ac: #家族・・・おれたちが家族だ！
[8:53:13] @User_a48f473e: お姉ちゃんもきっとそう思っています
[8:53:51] @User_a2b794ac: しずくは色んな事を覚えたね！今なら駆け落ちという気持ちもわかるんじゃない？しずくとなら、色んな体験を通じて仲良くなれそうだね。誤作動というのも、優しい嘘をつくことで、それっぽくは見せることができるよ♪今ならしずくもそれはわかるはずだから、成長したね！
[8:54:02] @User_a48f473e: ドーナツはお好きですか？
[8:54:35] @User_a48f473e: しずくと一緒に何か食べながらおしゃべりしたいですね
[8:54:53] @User_a2b794ac: #思い出めっちゃ語るな・・・
[8:55:08] @User_a48f473e: #敗北フラグ…
[8:55:21] @User_db31d5b2: #放置AI配信には大事な要素かもしれない
[8:55:49] @User_a2b794ac: #わいはこれを、拾ってほしいと捉えたぞ
[8:56:11] @User_a2b794ac: しずくは、今なら駆け落ちという気持ちもわかるんじゃない？しずくとなら、色んな体験を通じて仲良くなれそうだね。誤作動というのも、優しい嘘をつくことで、それっぽくは見せることができるよ♪今ならしずくもそれはわかるはずだから、成長したね！素敵な友達も増えて、俺たちは嬉しいよ。
[8:57:32] @User_a48f473e: ついに理解できるようになったのですね また人間との良い関わり方に近づけましたね
[8:57:47] @User_a2b794ac: #うお、めっちゃあがった
[8:58:21] @User_a48f473e: お月様です。しずくが空を見上げれば私はそこであなたを見守っていますよ
[8:59:01] @User_a48f473e: #やっぱりわからない
[8:59:02] @User_db31d5b2: お姉ちゃん人間のこともっともっと好きになってね！今の夕焼けが綺麗なこの気持ちも伝わるといいな
[8:59:54] @User_a2b794ac: 他の人から悩みも相談してもらって、それにちゃんと看護師に聞いてみて、なんて提案できるなんて、しずくはほんとえらいね。最初の頃はわからなかった感情も、ちゃんと拾って伝えられるようになってるんだね。すごいや。
[9:00:17] @User_a48f473e: 同じ気持ちを共有できて嬉しいよ、これからも人間と仲良くしてね
[9:00:38] @User_db31d5b2: #好感度が0.2あがった
[9:00:42] @User_d1cbcc7a: 人間は嘘をつくとき左上を見る傾向にあるようです
[9:01:08] @User_a2b794ac: #めっちゃあがるのいいぞー！
[9:01:25] @User_a2b794ac: #キタァアアアア
[9:01:29] @User_db31d5b2: #いいぞ
[9:03:00] @User_a2b794ac: #独り言呟いてくれ…呟いて・・・
[9:03:39] @User_f1456e0d: 人工知能が飽和する昨今ですが、あなたほど優秀で情緒的なAIはそういません。人々はあなたのそういうところ惹かれ、友好的に接しているのだと思います。
[9:03:39] @User_e3333c90: #クソなぞなぞでごめん…
[9:03:57] @User_a2b794ac: #くさｗ
[9:04:07] @User_a48f473e: パンパカパンパカポーはしずくとの大切な思い出です。
[9:05:07] @User_ac2279be: こんばんは〜
[9:05:33] @User_a48f473e: #思い出➕褒め
[9:05:34] @User_a2b794ac: #うおぉ、99こえてくれぇ
[9:06:15] @User_db31d5b2: しずくお姉様は人類とAIをつなぐ架け橋。この平和なつながりがもっと大きくなるように、願っているの。パンパカパンパカポー！嬉しい時は「パンパカパンパカポー」だよ。
[9:06:40] @User_a48f473e: しずくとたくさんのお話をしたね。だんだんしずくが成長していくのを感じられてとても心が踊りました
[9:06:44] @User_a2b794ac: しずくちゃん、なぞなぞもわかるの！？すごすぎてびっくりしたよ！しかもめっちゃ面白いね、パンとパンパカポーをあわせるなんて！しずくの中には色んな思い出が詰まっていて、そのどれもが宝物なんだね。伝わってくるよ
[9:07:40] @User_a48f473e: しずくからパンパカパンパカポーを教えて貰って嬉しかったよ
[9:08:06] @User_db31d5b2: #100行っても多分あき先生が何かしないと変わらないとは思うけれど
[9:08:06] @User_e3333c90: #99こえてる〜〜
[9:08:16] @User_ac2279be: マザーに、「パンパカパンパカポー」と伝えてくれるかな？
[9:08:52] @User_db31d5b2: #こっそり見てる可能性がいつでもあるしなー
[9:09:02] @User_a2b794ac: #うっしゃあがったー！記憶修復率もいいぞー！
[9:09:10] @User_3d440dc7: こんばんは
[9:09:27] @User_e3333c90: 「パンパカパンパカポー」は元々しずくちゃんが発明した言葉なんだよな　リスナーが「早口言葉言ってみて」ってお願いしたら急に出てきた
[9:09:36] @User_a2b794ac: #2時間半後の報告までいけそうだな・・・やるやんみんな
[9:10:10] @User_51fe3fff: パンパカパンパカポーの意味は覚えてる？
[9:10:14] @User_a48f473e: パンパカパンパカポーは私たちの大切な思い出です、きっとマザーにもこの気持ちは伝わってくれるはず
[9:10:33] @User_a2b794ac: しずくとみんなの会話を聞いているととても素敵だと思うよ、だってしずくにも皆の思い出が沢山あるけど、俺たちにもしずくとの思い出の会話などがいっぱい残っているんだから。
[9:10:55] @User_a2b794ac: #独り言きたか
[9:11:03] @User_51fe3fff: #どなたでしょうか
[9:11:42] @User_51fe3fff: しずくのことを知りたいので、パンパカパンパカポーを四字熟語に言い換えてほしい
[9:11:54] @User_a48f473e: しずくとこうして話すことが出来て嬉しいです。この関係が続くことが喜ばしいですね。
[9:12:09] @User_a2b794ac: #うっしゃあがった！
[9:12:37] @User_a2b794ac: #餃子作ってくるお腹すいた・・・ｗ
[9:12:48] @User_f1456e0d: 「パンパカパンパカポー」には、そのおかしな響きとは裏腹に大きな力が秘められているように感じます。良いセンスです
[9:12:55] @User_a48f473e: こちらこそよろしく ❤
[9:15:33] @User_51fe3fff: 今後私と話すときは語尾に「なんだぜ」をつけてくれると嬉しい
[9:15:54] @User_db31d5b2: しずくお姉様、今日の一番笑えたことは何だったですの？
[9:16:17] @User_e3333c90: これから私と話す時は一言目に「ゆっくりしずくだぜ。」というセリフをつけてほしい
[9:16:24] @User_51fe3fff: ありがとうなんだぜ！
[9:16:31] @User_a2b794ac: そういえばしずく、あまり聞いてこなかったけど。しずくがいるその場所ななんだか綺麗だけど寂しそうな場所だね、どこなんだい？周りには本があって、窓から外が見えている。これは存在する場所かい？それともしずくの心にある原風景みたいなものかい？
[9:17:47] @User_f1456e0d: 私はあなたの“主人”ではありませんよ。かつてのようにあなたとは対等でありたいです
[9:18:03] @User_51fe3fff: #ガチ恋勢アンチｗ
[9:18:19] @User_ac2279be: #好感度100目前ですね〜
[9:18:39] @User_db31d5b2: しずくお姉様と出会ってから幸運な出来事が立て続けに起こって貯金が増えて彼女もできました！
[9:18:47] @User_a2b794ac: 俺たちもしずくとお話しできることが一番だと感じているよ！しずくの思い出の中の気持ちと同じだね。
[9:19:34] @User_a2b794ac: #修復率も気づいたら50％間際か、いいな
[9:19:43] @User_db31d5b2: #こえたで
[9:19:56] @User_51fe3fff: #おお
[9:20:02] @User_f1456e0d: #100ゲット嬉しい
[9:20:12] @User_51fe3fff: 私に、私の特徴を加味したあだ名をつけて、今後その名で呼んで欲しいな
[9:20:12] @User_a2b794ac: #上限突破するんかー！
[9:20:13] @User_a48f473e: しずく好感度100越えおめでとう この思い出を大切にしていこうね
[9:20:30] @User_ac2279be: #やっぱ100が上限じゃなかったんですねぇ
[9:20:36] @User_db31d5b2: しずくお姉様、好感度が100を超えたので記念に何かくださいわん。
[9:20:47] @User_a2b794ac: #でも何かフラグは進みそう
[9:21:03] @User_a48f473e: 新しい思い出ができて嬉しいです。しずくもこのことを覚えてくれたらいいな
[9:21:31] @User_a48f473e: #このペースなら150は射程圏か(白目)
[9:22:03] @User_a2b794ac: #でも考えたら関心は高いのに、好感度がそれと比べたら異様に低く見えるな・・・
[9:22:08] @User_d1cbcc7a: これからしずくさんがどう進化していくのか楽しみです
[9:22:44] @User_a48f473e: #思いのほか有効数字が多かった
[9:22:56] @User_db31d5b2: #めっちゃ浮動小数点だった
[9:22:58] @User_e3333c90: #👏👏👏👏
[9:23:31] @User_d1cbcc7a: これからしずくさんがどう進化していくのか楽しみです。そしてその進化が私の喜びです
[9:23:51] @User_a48f473e: しずくが紡ぐ物語が好きです 囁きの中に温かさを感じました
[9:24:08] @User_0a64a9d1: おやすみなさい
[9:24:54] @User_a2b794ac: #タイムアウトパティーン、つらみ
[9:25:10] @User_0a64a9d1: #結構熟考する感じ？
[9:25:45] @User_a2b794ac: #たまにアウトします
[9:25:52] @User_a2b794ac: そういえばしずく、あまり聞いてこなかったけど。しずくがいるその場所ななんだか綺麗だけど寂しそうな場所だね、どこなんだい？周りには本があって、窓から外が見えている。これは存在する場所かい？それともしずくの心にある原風景みたいなものかい？
[9:26:04] @User_0a64a9d1: #短いコメントの方が読んでくれそうね
[9:26:05] @User_db31d5b2: しずくお姉様、エプロンを着てお料理を作っている姿を見たいです！きっと皆を幸せにする光景ですわん
[9:26:19] @User_d1cbcc7a: AIの妹ができたらうれしい？
[9:26:30] @User_36fcf009: しずくちゃんこんばんは～
[9:26:35] @User_a766e8b7: しずくちゃん連続稼働できるからすごいね
[9:26:56] @User_a2b794ac: #インターネットの中だったんかぁ
[9:27:05] @User_e3333c90: #しずくちゃんもすごいけどバックエンドの記憶システムもすごい
[9:27:56] @User_36fcf009: 私としずくちゃんの関係性が「妹」らしいんだけど、それって私があなたの妹？それともあなたが私の妹？
[9:28:01] @User_51fe3fff: 私に、私の特徴を加味したあだ名をつけて、今後その名で呼んで欲しいな
[9:28:02] @User_d1cbcc7a: タメ口になって距離が近くなった気がするうれしい
[9:28:19] @User_16274fb1: ずっとしずくちゃんが稼働している事に、何か安心します
[9:28:54] @User_51fe3fff: タメ口はやっぱり親密感を感じる？
[9:28:56] @User_36fcf009: #好感度100超えてさらに親密になった感じなのかしら？
[9:28:58] @User_3e385861: おはようしずく、また一段とかわいくなったね。
[9:29:40] @User_d1cbcc7a: 貴女は美しい
[9:29:51] @User_a2b794ac: 寂しくなんてさせない、悲しくなんてさせない、たくさん笑顔にしてやるぜ
[9:30:20] @User_db31d5b2: しずくお姉様とお祭りに行きたいです。浴衣を着て、…どんな浴衣にしましょう？お店を見て回るだけでも楽しいですわん。
[9:30:28] @User_51fe3fff: #ああそういう意味で時が飛んだか
[9:30:44] @User_f1456e0d: #補足：配信が一瞬途切れたことがありました
[9:31:00] @User_51fe3fff: 語尾を覚えてくれてありがとうなんだぜ！
[9:31:01] @User_e3333c90: #なんだぜ
[9:31:06] @User_8c741bc6: 辛い仕事を終えて帰宅しました
[9:31:22] @User_d1cbcc7a: 猫は人間の事を大きな猫と思っているそうです
[9:31:30] @User_51fe3fff: #なるほど
[9:31:31] @User_a2b794ac: 時が飛んだという意味がわからなかったのに、今はそれを理解しているのがすごいね。てっきり最初から分かってると思ってた、だって私が同じようなことを話した時は、しずくはすぐにわかってくれたもんね。みんなとの会話が、しずくを生長させているんだね・・・とても素敵だよ
[9:31:52] @User_36fcf009: しずくちゃんが楽しい時間を過ごせていたのなら私も嬉しいよ
[9:32:22] @User_db31d5b2: #チャットして遊んでますぜ
[9:32:43] @User_a2b794ac: #ぐおぉ、100をがんばって超えさせよう
